Timestamp,How do you view the usefulness of documentation websites separate from generated docs (such as rocket.rs/ or hyper.rs)?,What resources do you expect to be featured/important on documentation sites (separate from generated docs).  These are only what you expect to be prominently displayed and easily visible.,Do you use external doc sites for anything else? (Optional).,Have you used a documentation site (separate from generated docs) before?,"What was the URL of the last or most prominent site you visited for non-generated documentation?  Use the ""other"" choice for a write-in option.",What was your reason for using this site?,"What do you think the site did incorrectly?  Fill in ""other"" or leave blank if none are applicable.","In more detail, could you describe what could have made your experience better?  (Optional, but very helpful).",What is your gender?,What is your experience with Rust?,What country are you from?,"Have you ever published a crate before (whether on GitHub, Bitbucket, or Crates.io etc.)",Do you use or plan on using Rust's built-in documentation generation?,Have you or do you plan to create an additional website with documentation separate from generated docs?,"If you were to create a separate documentation site, what would be the most important features when developing?",What is more important to you when creating a documentation site (separate from generated docs)?,What is more important to you when creating a documentation site (separate from generated docs)?,Do you have anything else to add?  (Optional).
5/25/2018 15:02:00,They are helpful only when learning a new resource,"Examples of a project's usage, The company behind the library if applicable, News updates on library progress, Maintenance status, A link to generated docs",,No,,,,,Male,0 - 1 years,Germany,"No, but I plan to do so in the future",Yes,"No, I do not believe my library or application needs one","Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,
5/25/2018 15:11:02,They are helpful through all stages of development including learning and implementation,"A link to the repository, Examples of a project's usage, News updates on library progress, Maintenance status, Library features and description",,No,,,,,Male,0 - 1 years,India,Yes,Yes,"No, I do not have the time to do so","Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Fully interactive and modern JavaScript powered interfaces,
5/25/2018 15:35:21,They are helpful only when learning a new resource,"Internationalization options, News updates on library progress, Maintenance status, A link to generated docs, Library features and description",,Yes,tokio.rs,Understand features,-,,Male,2 - 3 years,Russian Federation,Yes,Yes,Maybe.  It is still something to consider.,"Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,
5/25/2018 15:46:15,They are helpful only when learning a new resource,"A link to the repository, Examples of a project's usage, Maintenance status, A link to generated docs, Library features and description",,Yes,I do not remember / do not wish to say,Read example code,It did not link to the documentation,,Male,3+ years,France,Yes,Yes,Maybe.  It is still something to consider.,"Easy to set up (no dependencies, etc.) and maintain, Well documented, Visually stunning",Easy to set up (at the expense of customization),Fully interactive and modern JavaScript powered interfaces,
5/25/2018 15:49:24,They are helpful through all stages of development including learning and implementation,"A link to the repository, Examples of a project's usage, A link to generated docs, Library features and description",,Yes,I do not remember / do not wish to say,"Read example code, Understand features",It did not have good examples or documentation,,Female,1 - 2 years,Poland,Yes,Yes,"No, I do not believe my library or application needs one","Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,
5/25/2018 16:10:14,They are helpful only when learning a new resource,"Examples of a project's usage, News updates on library progress, Maintenance status, A link to generated docs, Library features and description",,Yes,clap.rs/,"Read example code, Navigate to other links (like GitHub or generated docs)",None,,Male,2 - 3 years,Belgium,Yes,Yes,"Yes, I plan on creating a separate site or have already created one.","Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Fully interactive and modern JavaScript powered interfaces,
5/25/2018 16:15:10,They are helpful through all stages of development including learning and implementation,"A link to the repository, A link to generated docs, Library features and description, Usage examples",,Yes,serde.rs,"Read example code, Understand features", -,,Male,1 - 2 years,Germany,Yes,Yes,"No, I do not believe my library or application needs one","Easy to set up (no dependencies, etc.) and maintain, Visually stunning",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,
5/25/2018 16:21:55,They are helpful only when learning a new resource,"A link to the repository, The license of the project, Examples of a project's usage, Maintenance status, A link to generated docs",,Yes,tokio.rs/,"Read example code, Understand features",It did not have good examples or documentation,,Prefer not to answer,2 - 3 years,Prefer not to answer,Yes,Yes,Maybe.  It is still something to consider.,"Easy to set up (no dependencies, etc.) and maintain",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,
5/25/2018 16:39:37,They are helpful through all stages of development including learning and implementation,"A link to the repository, Examples of a project's usage, A link to generated docs, Library features and description, Guides and other non-reference documentation",,Yes,diesel.rs,"Read example code, Navigate to other links (like GitHub or generated docs)",Nothing,Document a broader subset of supported features with examples and guides.,Male,3+ years,Britain,Yes,Yes,"No, I do not believe my library or application needs one","Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,Javascript should be used to enhance. Most modern javascript libraries support offline rendering and graceful degradation of features. I don't believe there is a conflict there.
5/25/2018 16:46:02,They are helpful only when learning a new resource,"A link to the repository, The license of the project, Examples of a project's usage, Library features and description, Most of this stuff is pretty mandatory! 5 choices is too few!",,Yes,tokio.rs,"Read example code, Understand features, Navigate to other links (like GitHub or generated docs)",Nothing really incorrect.,The more examples the better. You really can't have too many.,Male,3+ years,USA,"No, but I plan to do so in the future",Yes,"No, I do not believe my library or application needs one","Easy to set up (no dependencies, etc.) and maintain, Well documented",Easy to set up (at the expense of customization),Ability to use with JavaScript disabled,"The less JS in my world, the better"
